                                                          Feff 6.01l  potph 4.12
 Abs   Z=29 Rmt= 1.329 Rnm= 1.912 K shell
 Pot 1 Z= 8 Rmt= 1.071 Rnm= 1.541
 Gam_ch=1.761E+00 H-L exch
 Mu=-3.131E+00 kf=1.251E+00 Vint=-9.092E+00 Rs_int= 2.899
 S02  1.000                                               Feff 6.01l ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      1.00     2   2.4000
    1/   1 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -6.823376E-02  1.031989E-01 -7.224000E-01
     0.0500   -6.616384E-02  1.020544E-01 -7.053750E-01
     0.1000   -6.410442E-02  1.009099E-01 -6.883500E-01
     0.1500   -6.205651E-02  9.976546E-02 -6.713250E-01
     0.2000   -6.002112E-02  9.862099E-02 -6.543000E-01
     0.2500   -5.541088E-02  9.747652E-02 -6.046250E-01
     0.3000   -5.075744E-02  9.633205E-02 -5.549500E-01
     0.3500   -4.607537E-02  9.518758E-02 -5.052750E-01
     0.4000   -4.137908E-02  9.404311E-02 -4.556000E-01
     0.4500   -3.403574E-02  9.246089E-02 -3.769750E-01
     0.5000   -2.671319E-02  9.087866E-02 -2.983500E-01
     0.5500   -1.946316E-02  8.929643E-02 -2.197250E-01
     0.6000   -1.233545E-02  8.771421E-02 -1.411000E-01
     0.6500   -3.318681E-03  8.599759E-02 -3.859998E-02
     0.7000    5.381891E-03  8.428097E-02  6.390002E-02
     0.7500    1.367540E-02  8.256435E-02  1.664000E-01
     0.8000    2.147891E-02  8.084773E-02  2.689000E-01
     0.8500    3.009554E-02  7.919808E-02  3.898000E-01
     0.9000    3.790475E-02  7.754843E-02  5.107000E-01
     0.9500    4.481344E-02  7.589878E-02  6.316000E-01
     1.0000    5.074674E-02  7.424912E-02  7.525000E-01
     1.0500    5.639384E-02  7.274786E-02  8.870250E-01
     1.1000    6.076752E-02  7.124659E-02  1.021550E+00
     1.1500    6.383292E-02  6.974532E-02  1.156075E+00
     1.2000    6.558262E-02  6.824406E-02  1.290600E+00
     1.2500    6.629763E-02  6.690954E-02  1.435450E+00
     1.3000    6.557207E-02  6.557503E-02  1.580300E+00
     1.3500    6.347677E-02  6.424052E-02  1.725150E+00
