                                                          Feff 6.01l  potph 4.12
 Abs   Z=29 Rmt= 1.099 Rnm= 1.642 K shell
 Pot 1 Z= 8 Rmt= 0.901 Rnm= 1.347
 Gam_ch=1.761E+00 H-L exch
 Mu=-2.765E+00 kf=1.631E+00 Vint=-1.289E+01 Rs_int= 2.224
 S02  1.000                                               Feff 6.01l ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      1.00     2   2.0000
    1/   1 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -1.257624E-01  1.390084E-01 -1.130700E+00
     0.0500   -1.241869E-01  1.378634E-01 -1.121600E+00
     0.1000   -1.226101E-01  1.367185E-01 -1.112500E+00
     0.1500   -1.210325E-01  1.355735E-01 -1.103400E+00
     0.2000   -1.194542E-01  1.344285E-01 -1.094300E+00
     0.2500   -1.167448E-01  1.332836E-01 -1.067325E+00
     0.3000   -1.139803E-01  1.321386E-01 -1.040350E+00
     0.3500   -1.111641E-01  1.309936E-01 -1.013375E+00
     0.4000   -1.082997E-01  1.298487E-01 -9.864000E-01
     0.4500   -1.036626E-01  1.281505E-01 -9.423000E-01
     0.5000   -9.891191E-02  1.264524E-01 -8.982000E-01
     0.5500   -9.406221E-02  1.247542E-01 -8.541000E-01
     0.6000   -8.912796E-02  1.230561E-01 -8.100000E-01
     0.6500   -8.248922E-02  1.210290E-01 -7.499000E-01
     0.7000   -7.573082E-02  1.190020E-01 -6.898000E-01
     0.7500   -6.888678E-02  1.169749E-01 -6.297000E-01
     0.8000   -6.199081E-02  1.149478E-01 -5.696000E-01
     0.8500   -5.356421E-02  1.127958E-01 -4.948250E-01
     0.9000   -4.512123E-02  1.106438E-01 -4.200500E-01
     0.9500   -3.671965E-02  1.084918E-01 -3.452750E-01
     1.0000   -2.841541E-02  1.063398E-01 -2.705000E-01
     1.0500   -1.889759E-02  1.042102E-01 -1.823500E-01
     1.1000   -9.601769E-03  1.020805E-01 -9.419997E-02
     1.1500   -6.046962E-04  9.995090E-02 -6.049970E-03
     1.2000    8.022109E-03  9.782125E-02  8.210004E-02
     1.2500    1.735453E-02  9.580493E-02  1.821500E-01
     1.3000    2.611725E-02  9.378860E-02  2.822000E-01
     1.3500    3.423189E-02  9.177227E-02  3.822500E-01
     1.4000    4.163043E-02  8.975594E-02  4.823000E-01
     1.4500    4.910731E-02  8.788491E-02  5.929000E-01
     1.5000    5.564157E-02  8.601387E-02  7.035000E-01
     1.5500    6.118093E-02  8.414283E-02  8.141001E-01
     1.6000    6.568911E-02  8.227180E-02  9.247001E-01
     1.6500    6.965114E-02  8.054377E-02  1.044675E+00
     1.7000    7.240409E-02  7.881574E-02  1.164650E+00
     1.7500    7.395268E-02  7.708770E-02  1.284625E+00
     1.8000    7.432131E-02  7.535967E-02  1.404600E+00
     1.8500    7.369646E-02  7.374969E-02  1.532800E+00
     1.9000    7.184642E-02  7.213972E-02  1.661000E+00
     1.9500    6.885427E-02  7.052974E-02  1.789200E+00
     2.0000    6.482123E-02  6.891976E-02  1.917400E+00
     2.0500    5.956214E-02  6.704621E-02  2.047800E+00
     2.1000    5.351539E-02  6.517266E-02  2.178200E+00
     2.1500    4.683803E-02  6.329911E-02  2.308600E+00
     2.2000    3.969310E-02  6.142557E-02  2.439000E+00
     2.2500    3.253181E-02  6.038955E-02  2.572700E+00
     2.3000    2.502256E-02  5.935353E-02  2.706400E+00
     2.3500    1.731714E-02  5.831751E-02  2.840100E+00
     2.4000    9.566371E-03  5.728150E-02  2.973800E+00
     2.4500    1.485359E-03  5.623276E-02  3.115175E+00
     2.5000   -6.329850E-03  5.518401E-02  3.256550E+00
     2.5500   -1.372516E-02  5.413527E-02  3.397925E+00
     2.6000   -2.056072E-02  5.308653E-02  3.539300E+00
     2.6500   -2.689770E-02  5.207696E-02  3.684350E+00
     2.7000   -3.241986E-02  5.106738E-02  3.829400E+00
     2.7500   -3.703561E-02  5.005781E-02  3.974450E+00
     2.8000   -4.067717E-02  4.904823E-02  4.119500E+00
     2.8500   -4.334270E-02  4.798246E-02  4.269000E+00
     2.9000   -4.490511E-02  4.691668E-02  4.418500E+00
     2.9500   -4.537378E-02  4.585091E-02  4.568000E+00
     3.0000   -4.478455E-02  4.478513E-02  4.717500E+00
     3.0500   -4.321847E-02  4.373326E-02  4.865975E+00
     3.1000   -4.074900E-02  4.268139E-02  5.014450E+00
     3.1500   -3.747546E-02  4.162952E-02  5.162925E+00
     3.2000   -3.351281E-02  4.057764E-02  5.311400E+00
     3.2500   -2.896439E-02  3.955752E-02  5.461625E+00
     3.3000   -2.397150E-02  3.853741E-02  5.611850E+00
     3.3500   -1.867773E-02  3.751729E-02  5.762075E+00
     3.4000   -1.322805E-02  3.649717E-02  5.912300E+00
     3.4500   -7.706188E-03  3.551719E-02  6.064475E+00
     3.5000   -2.296243E-03  3.453720E-02  6.216650E+00
     3.5500    2.870324E-03  3.355722E-02  6.368825E+00
     3.6000    7.674532E-03  3.257724E-02  6.521000E+00
     3.6500    1.195625E-02  3.167647E-02  6.670225E+00
     3.7000    1.572419E-02  3.077570E-02  6.819450E+00
     3.7500    1.891240E-02  2.987493E-02  6.968675E+00
     3.8000    2.147290E-02  2.897416E-02  7.117900E+00
     3.8500    2.343575E-02  2.814899E-02  7.266900E+00
     3.9000    2.474354E-02  2.732381E-02  7.415900E+00
     3.9500    2.539910E-02  2.649863E-02  7.564900E+00
     4.0000    2.542197E-02  2.567345E-02  7.713900E+00
     4.0500    2.492767E-02  2.492857E-02  7.862475E+00
     4.1000    2.388600E-02  2.418369E-02  8.011050E+00
     4.1500    2.235251E-02  2.343882E-02  8.159625E+00
     4.2000    2.039287E-02  2.269394E-02  8.308200E+00
     4.2500    1.819878E-02  2.203688E-02  8.453100E+00
     4.3000    1.573027E-02  2.137982E-02  8.598000E+00
     4.3500    1.306056E-02  2.072276E-02  8.742900E+00
     4.4000    1.026444E-02  2.006571E-02  8.887800E+00
     4.4500    7.405187E-03  1.949177E-02  9.035075E+00
     4.5000    4.541418E-03  1.891784E-02  9.182350E+00
     4.5500    1.742840E-03  1.834390E-02  9.329625E+00
     4.6000   -9.257912E-04  1.776997E-02  9.476901E+00
     4.6500   -3.398976E-03  1.728377E-02  9.622726E+00
     4.7000   -5.661471E-03  1.679757E-02  9.768551E+00
     4.7500   -7.670758E-03  1.631137E-02  9.914376E+00
     4.8000   -9.392518E-03  1.582518E-02  1.006020E+01
     4.8500   -1.085351E-02  1.539816E-02  1.020700E+01
     4.9000   -1.199241E-02  1.497114E-02  1.035380E+01
     4.9500   -1.279855E-02  1.454412E-02  1.050060E+01
     5.0000   -1.327004E-02  1.411710E-02  1.064740E+01
     5.0500   -1.347538E-02  1.375667E-02  1.079300E+01
