                                                          Feff 6.01l  potph 4.12
 Abs   Z=29 Rmt= 1.388 Rnm= 1.979 K shell
 Pot 1 Z= 8 Rmt= 1.112 Rnm= 1.586
 Gam_ch=1.761E+00 H-L exch
 Mu=-3.160E+00 kf=1.175E+00 Vint=-8.424E+00 Rs_int= 3.085
 S02  1.000                                               Feff 6.01l ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      1.00     2   2.5000
    1/   1 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -5.672219E-02  9.414843E-02 -6.466000E-01
     0.0500   -5.458132E-02  9.306352E-02 -6.267250E-01
     0.1000   -5.245382E-02  9.197862E-02 -6.068500E-01
     0.1500   -5.034102E-02  9.089372E-02 -5.869750E-01
     0.2000   -4.824424E-02  8.980882E-02 -5.671000E-01
     0.2500   -4.327234E-02  8.872391E-02 -5.094750E-01
     0.3000   -3.826588E-02  8.763901E-02 -4.518500E-01
     0.3500   -3.324481E-02  8.655411E-02 -3.942250E-01
     0.4000   -2.822875E-02  8.546921E-02 -3.366000E-01
     0.4500   -2.050929E-02  8.400885E-02 -2.466250E-01
     0.5000   -1.287840E-02  8.254850E-02 -1.566500E-01
     0.5500   -5.402546E-03  8.108815E-02 -6.667499E-02
     0.6000    1.855161E-03  7.962780E-02  2.330002E-02
     0.6500    1.077580E-02  7.808087E-02  1.384500E-01
     0.7000    1.920164E-02  7.653395E-02  2.536000E-01
     0.7500    2.702905E-02  7.498702E-02  3.687500E-01
     0.8000    3.416690E-02  7.344010E-02  4.839000E-01
     0.8500    4.164354E-02  7.198422E-02  6.169000E-01
     0.9000    4.806969E-02  7.052834E-02  7.499000E-01
     0.9500    5.336423E-02  6.907246E-02  8.829000E-01
     1.0000    5.747105E-02  6.761657E-02  1.015900E+00
     1.0500    6.081686E-02  6.630551E-02  1.161050E+00
     1.1000    6.273251E-02  6.499444E-02  1.306200E+00
     1.1500    6.322961E-02  6.368337E-02  1.451350E+00
     1.2000    6.235170E-02  6.237230E-02  1.596500E+00
     1.2500    6.018004E-02  6.116972E-02  1.750925E+00
     1.3000    5.664238E-02  5.996714E-02  1.905350E+00
     1.3500    5.187812E-02  5.876456E-02  2.059775E+00
     1.4000    4.605295E-02  5.756198E-02  2.214200E+00
     1.4500    3.849849E-02  5.606733E-02  2.384725E+00
     1.5000    3.019605E-02  5.457267E-02  2.555250E+00
     1.5500    2.144023E-02  5.307802E-02  2.725775E+00
     1.6000    1.252651E-02  5.158336E-02  2.896300E+00
     1.6500    4.527672E-03  5.080184E-02  3.052350E+00
     1.7000   -3.339244E-03  5.002032E-02  3.208400E+00
     1.7500   -1.088263E-02  4.923880E-02  3.364450E+00
     1.8000   -1.792462E-02  4.845728E-02  3.520500E+00
     1.8500   -2.489851E-02  4.767972E-02  3.691025E+00
     1.9000   -3.092507E-02  4.690217E-02  3.861550E+00
     1.9500   -3.585613E-02  4.612461E-02  4.032075E+00
     2.0000   -3.958107E-02  4.534706E-02  4.202600E+00
     2.0500   -4.228332E-02  4.468485E-02  4.383050E+00
     2.1000   -4.353559E-02  4.402264E-02  4.563500E+00
     2.1500   -4.333883E-02  4.336043E-02  4.743950E+00
     2.2000   -4.174219E-02  4.269822E-02  4.924400E+00
     2.2500   -3.870154E-02  4.190392E-02  5.105875E+00
     2.3000   -3.449974E-02  4.110961E-02  5.287350E+00
     2.3500   -2.932079E-02  4.031531E-02  5.468825E+00
     2.4000   -2.337564E-02  3.952101E-02  5.650300E+00
     2.4500   -1.681236E-02  3.872553E-02  5.834100E+00
     2.5000   -9.944670E-03  3.793005E-02  6.017900E+00
     2.5500   -3.022569E-03  3.713457E-02  6.201700E+00
     2.6000    3.711544E-03  3.633909E-02  6.385500E+00
     2.6500    1.016417E-02  3.556407E-02  6.573025E+00
     2.7000    1.598349E-02  3.478905E-02  6.760550E+00
     2.7500    2.098572E-02  3.401403E-02  6.948075E+00
     2.8000    2.502471E-02  3.323900E-02  7.135600E+00
     2.8500    2.804340E-02  3.244953E-02  7.326775E+00
     2.9000    2.988934E-02  3.166006E-02  7.517950E+00
     2.9500    3.054727E-02  3.087059E-02  7.709125E+00
     3.0000    3.004886E-02  3.008112E-02  7.900300E+00
     3.0500    2.845136E-02  2.926790E-02  8.090750E+00
     3.1000    2.589723E-02  2.845469E-02  8.281200E+00
     3.1500    2.253418E-02  2.764147E-02  8.471650E+00
     3.2000    1.853456E-02  2.682825E-02  8.662100E+00
     3.2500    1.410587E-02  2.607058E-02  8.853075E+00
     3.3000    9.406180E-03  2.531290E-02  9.044050E+00
     3.3500    4.631512E-03  2.455523E-02  9.235025E+00
     3.4000   -2.908621E-05  2.379756E-02  9.426001E+00
     3.4500   -4.467862E-03  2.307289E-02  9.619651E+00
     3.5000   -8.465980E-03  2.234822E-02  9.813301E+00
     3.5500   -1.188949E-02  2.162355E-02  1.000695E+01
     3.6000   -1.463556E-02  2.089889E-02  1.020060E+01
     3.6500   -1.667306E-02  2.025329E-02  1.039185E+01
     3.7000   -1.796324E-02  1.960770E-02  1.058310E+01
     3.7500   -1.850000E-02  1.896211E-02  1.077435E+01
     3.8000   -1.830829E-02  1.831652E-02  1.096560E+01
     3.8500   -1.752488E-02  1.775746E-02  1.115760E+01
     3.9000   -1.613184E-02  1.719840E-02  1.134960E+01
     3.9500   -1.421990E-02  1.663934E-02  1.154160E+01
     4.0000   -1.189617E-02  1.608029E-02  1.173360E+01
     4.0500   -9.295698E-03  1.557981E-02  1.192705E+01
     4.1000   -6.502864E-03  1.507934E-02  1.212050E+01
     4.1500   -3.641047E-03  1.457886E-02  1.231395E+01
     4.2000   -8.297268E-04  1.407839E-02  1.250740E+01
