                                                          Feff 6.01l  potph 4.12
 Abs   Z=29 Rmt= 0.827 Rnm= 1.310 K shell
 Pot 1 Z= 8 Rmt= 0.673 Rnm= 1.068
 Gam_ch=1.761E+00 H-L exch
 Mu=-9.762E-01 kf=2.403E+00 Vint=-2.298E+01 Rs_int= 1.509
 S02  1.000                                               Feff 6.01l ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      1.00     2   1.5000
    1/   1 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -1.589089E-01  1.729405E-01 -1.976400E+00
     0.0500   -1.584613E-01  1.721554E-01 -1.972350E+00
     0.1000   -1.580086E-01  1.713703E-01 -1.968300E+00
     0.1500   -1.575508E-01  1.705851E-01 -1.964250E+00
     0.2000   -1.570880E-01  1.698000E-01 -1.960200E+00
     0.2500   -1.571266E-01  1.690149E-01 -1.948100E+00
     0.3000   -1.571352E-01  1.682297E-01 -1.936000E+00
     0.3500   -1.571139E-01  1.674446E-01 -1.923900E+00
     0.4000   -1.570631E-01  1.666595E-01 -1.911800E+00
     0.4500   -1.569643E-01  1.654151E-01 -1.891825E+00
     0.5000   -1.567871E-01  1.641708E-01 -1.871850E+00
     0.5500   -1.565327E-01  1.629264E-01 -1.851875E+00
     0.6000   -1.562020E-01  1.616821E-01 -1.831900E+00
     0.6500   -1.557197E-01  1.600626E-01 -1.804275E+00
     0.7000   -1.550979E-01  1.584431E-01 -1.776650E+00
     0.7500   -1.543394E-01  1.568236E-01 -1.749025E+00
     0.8000   -1.534473E-01  1.552042E-01 -1.721400E+00
     0.8500   -1.523117E-01  1.533352E-01 -1.686400E+00
     0.9000   -1.509744E-01  1.514662E-01 -1.651400E+00
     0.9500   -1.494417E-01  1.495972E-01 -1.616400E+00
     1.0000   -1.477199E-01  1.477282E-01 -1.581400E+00
     1.0500   -1.455541E-01  1.456263E-01 -1.539300E+00
     1.1000   -1.431358E-01  1.435244E-01 -1.497200E+00
     1.1500   -1.404770E-01  1.414224E-01 -1.455100E+00
     1.2000   -1.375896E-01  1.393205E-01 -1.413000E+00
     1.2500   -1.342466E-01  1.371684E-01 -1.364025E+00
     1.3000   -1.306249E-01  1.350163E-01 -1.315050E+00
     1.3500   -1.267432E-01  1.328642E-01 -1.266075E+00
     1.4000   -1.226209E-01  1.307121E-01 -1.217100E+00
     1.4500   -1.178818E-01  1.285010E-01 -1.161400E+00
     1.5000   -1.128751E-01  1.262898E-01 -1.105700E+00
     1.5500   -1.076287E-01  1.240786E-01 -1.050000E+00
     1.6000   -1.021710E-01  1.218675E-01 -9.943000E-01
     1.6500   -9.608001E-02  1.196768E-01 -9.320250E-01
     1.7000   -8.977913E-02  1.174862E-01 -8.697500E-01
     1.7500   -8.330606E-02  1.152955E-01 -8.074750E-01
     1.8000   -7.669852E-02  1.131048E-01 -7.452000E-01
     1.8500   -6.947407E-02  1.109690E-01 -6.765000E-01
     1.9000   -6.215052E-02  1.088331E-01 -6.078000E-01
     1.9500   -5.477447E-02  1.066972E-01 -5.391000E-01
     2.0000   -4.739165E-02  1.045613E-01 -4.704000E-01
     2.0500   -3.947852E-02  1.025067E-01 -3.953500E-01
     2.1000   -3.162746E-02  1.004521E-01 -3.203000E-01
     2.1500   -2.389079E-02  9.839747E-02 -2.452500E-01
     2.2000   -1.631850E-02  9.634287E-02 -1.701999E-01
     2.2500   -8.383275E-03  9.434505E-02 -8.897495E-02
     2.3000   -7.156788E-04  9.234724E-02 -7.749944E-03
     2.3500    6.632458E-03  9.034943E-02  7.347506E-02
     2.4000    1.361355E-02  8.835161E-02  1.547001E-01
     2.4500    2.071305E-02  8.647605E-02  2.418751E-01
     2.5000    2.733815E-02  8.460048E-02  3.290501E-01
     2.5500    3.344657E-02  8.272491E-02  4.162251E-01
     2.6000    3.900226E-02  8.084934E-02  5.034001E-01
     2.6500    4.454100E-02  7.857087E-02  6.027251E-01
     2.7000    4.926844E-02  7.629240E-02  7.020501E-01
     2.7500    5.316520E-02  7.401393E-02  8.013751E-01
     2.8000    5.622352E-02  7.173546E-02  9.007001E-01
     2.8500    5.848338E-02  7.013871E-02  9.860001E-01
     2.9000    6.016777E-02  6.854195E-02  1.071300E+00
     2.9500    6.128432E-02  6.694520E-02  1.156600E+00
     3.0000    6.184573E-02  6.534845E-02  1.241900E+00
