                                                          Feff 6.01l  potph 4.12
 Abs   Z=29 Rmt= 1.213 Rnm= 1.778 K shell
 Pot 1 Z= 8 Rmt= 0.987 Rnm= 1.447
 Gam_ch=1.761E+00 H-L exch
 Mu=-3.008E+00 kf=1.423E+00 Vint=-1.072E+01 Rs_int= 2.549
 S02  1.000                                               Feff 6.01l ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      1.00     2   2.2000
    1/   1 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -9.553924E-02  1.214378E-01 -9.055000E-01
     0.0500   -9.367339E-02  1.202501E-01 -8.930500E-01
     0.1000   -9.181157E-02  1.190625E-01 -8.806000E-01
     0.1500   -8.995435E-02  1.178748E-01 -8.681500E-01
     0.2000   -8.810229E-02  1.166871E-01 -8.557000E-01
     0.2500   -8.436614E-02  1.154995E-01 -8.189750E-01
     0.3000   -8.057577E-02  1.143118E-01 -7.822500E-01
     0.3500   -7.673861E-02  1.131241E-01 -7.455250E-01
     0.4000   -7.286204E-02  1.119365E-01 -7.088000E-01
     0.4500   -6.666888E-02  1.102278E-01 -6.495500E-01
     0.5000   -6.040289E-02  1.085192E-01 -5.903000E-01
     0.5500   -5.409302E-02  1.068105E-01 -5.310500E-01
     0.6000   -4.776780E-02  1.051019E-01 -4.718000E-01
     0.6500   -3.944361E-02  1.031518E-01 -3.923750E-01
     0.7000   -3.115665E-02  1.012018E-01 -3.129500E-01
     0.7500   -2.296767E-02  9.925171E-02 -2.335250E-01
     0.8000   -1.493491E-02  9.730165E-02 -1.541000E-01
     0.8500   -5.456882E-03  9.532727E-02 -5.727498E-02
     0.9000    3.691147E-03  9.335289E-02  3.955003E-02
     0.9500    1.242315E-02  9.137851E-02  1.363750E-01
     1.0000    2.066059E-02  8.940413E-02  2.332000E-01
     1.0500    2.957115E-02  8.754125E-02  3.445750E-01
     1.1000    3.772551E-02  8.567837E-02  4.559500E-01
     1.1500    4.504060E-02  8.381548E-02  5.673250E-01
     1.2000    5.144834E-02  8.195260E-02  6.787000E-01
     1.2500    5.768307E-02  8.024716E-02  8.021000E-01
     1.3000    6.274868E-02  7.854172E-02  9.255000E-01
     1.3500    6.660748E-02  7.683628E-02  1.048900E+00
     1.4000    6.924400E-02  7.513084E-02  1.172300E+00
     1.4500    7.103311E-02  7.360481E-02  1.305675E+00
     1.5000    7.145414E-02  7.207878E-02  1.439050E+00
     1.5500    7.055265E-02  7.055274E-02  1.572425E+00
     1.6000    6.839863E-02  6.902671E-02  1.705800E+00
     1.6500    6.501877E-02  6.759894E-02  1.847975E+00
     1.7000    6.043758E-02  6.617116E-02  1.990150E+00
     1.7500    5.480152E-02  6.474338E-02  2.132325E+00
     1.8000    4.827504E-02  6.331561E-02  2.274500E+00
     1.8500    4.084040E-02  6.168138E-02  2.417950E+00
     1.9000    3.291695E-02  6.004715E-02  2.561400E+00
     1.9500    2.470808E-02  5.841292E-02  2.704850E+00
     2.0000    1.641505E-02  5.677869E-02  2.848300E+00
     2.0500    7.895146E-03  5.591694E-02  2.999925E+00
     2.1000   -5.481998E-04  5.505519E-02  3.151550E+00
     2.1500   -8.718653E-03  5.419344E-02  3.303175E+00
     2.2000   -1.643211E-02  5.333169E-02  3.454800E+00
     2.2500   -2.366772E-02  5.242935E-02  3.609950E+00
     2.3000   -3.008591E-02  5.152702E-02  3.765100E+00
     2.3500   -3.555495E-02  5.062468E-02  3.920250E+00
     2.4000   -3.997131E-02  4.972234E-02  4.075400E+00
     2.4500   -4.334132E-02  4.876670E-02  4.236200E+00
     2.5000   -4.545281E-02  4.781105E-02  4.397000E+00
     2.5500   -4.629664E-02  4.685540E-02  4.557800E+00
     2.6000   -4.589887E-02  4.589975E-02  4.718600E+00
     2.6500   -4.431417E-02  4.493813E-02  4.879225E+00
     2.7000   -4.163968E-02  4.397651E-02  5.039850E+00
     2.7500   -3.799212E-02  4.301489E-02  5.200475E+00
     2.8000   -3.351070E-02  4.205327E-02  5.361100E+00
     2.8500   -2.822065E-02  4.111473E-02  5.526675E+00
     2.9000   -2.238368E-02  4.017620E-02  5.692250E+00
     2.9500   -1.619138E-02  3.923767E-02  5.857825E+00
     3.0000   -9.838010E-03  3.829913E-02  6.023400E+00
     3.0500   -3.536236E-03  3.736383E-02  6.188400E+00
     3.1000    2.555723E-03  3.642854E-02  6.353400E+00
     3.1500    8.271767E-03  3.549324E-02  6.518400E+00
     3.2000    1.346433E-02  3.455794E-02  6.683400E+00
     3.2500    1.803363E-02  3.364758E-02  6.848825E+00
     3.3000    2.185742E-02  3.273722E-02  7.014250E+00
     3.3500    2.486124E-02  3.182686E-02  7.179675E+00
     3.4000    2.699907E-02  3.091650E-02  7.345100E+00
     3.4500    2.831945E-02  3.005349E-02  7.512625E+00
     3.5000    2.875056E-02  2.919048E-02  7.680150E+00
     3.5500    2.832691E-02  2.832747E-02  7.847675E+00
     3.6000    2.710831E-02  2.746446E-02  8.015200E+00
     3.6500    2.526835E-02  2.666977E-02  8.179600E+00
     3.7000    2.283020E-02  2.587508E-02  8.344000E+00
     3.7500    1.989883E-02  2.508038E-02  8.508400E+00
     3.8000    1.658918E-02  2.428569E-02  8.672800E+00
     3.8500    1.305849E-02  2.356450E-02  8.837425E+00
     3.9000    9.371458E-03  2.284331E-02  9.002050E+00
     3.9500    5.646595E-03  2.212211E-02  9.166675E+00
     4.0000    1.997598E-03  2.140092E-02  9.331300E+00
     4.0500   -1.486112E-03  2.076707E-02  9.496401E+00
     4.1000   -4.721591E-03  2.013321E-02  9.661501E+00
     4.1500   -7.626122E-03  1.949936E-02  9.826601E+00
     4.2000   -1.013150E-02  1.886550E-02  9.991701E+00
     4.2500   -1.219037E-02  1.830204E-02  1.015370E+01
     4.3000   -1.379445E-02  1.773859E-02  1.031570E+01
     4.3500   -1.492302E-02  1.717513E-02  1.047770E+01
     4.4000   -1.557083E-02  1.661168E-02  1.063970E+01
     4.4500   -1.583893E-02  1.612949E-02  1.080548E+01
     4.5000   -1.564267E-02  1.564730E-02  1.097125E+01
     4.5500   -1.501365E-02  1.516511E-02  1.113703E+01
     4.6000   -1.399541E-02  1.468292E-02  1.130280E+01
     4.6500   -1.270283E-02  1.427265E-02  1.146900E+01
     4.7000   -1.112206E-02  1.386239E-02  1.163520E+01
     4.7500   -9.315806E-03  1.345212E-02  1.180140E+01
     4.8000   -7.350746E-03  1.304186E-02  1.196760E+01
     4.8500   -5.295835E-03  1.267765E-02  1.213543E+01
     4.9000   -3.202664E-03  1.231345E-02  1.230325E+01
     4.9500   -1.136985E-03  1.194924E-02  1.247108E+01
     5.0000    8.395220E-04  1.158504E-02  1.263890E+01
     5.0500    2.688079E-03  1.127496E-02  1.280710E+01
     5.1000    4.359942E-03  1.096489E-02  1.297530E+01
