                                                          Feff 6.01l  potph 4.12
 Abs   Z=29 Rmt= 0.934 Rnm= 1.443 K shell
 Pot 1 Z= 8 Rmt= 0.766 Rnm= 1.185
 Gam_ch=1.761E+00 H-L exch
 Mu=-1.988E+00 kf=2.038E+00 Vint=-1.781E+01 Rs_int= 1.780
 S02  1.000                                               Feff 6.01l ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      1.00     2   1.7000
    1/   1 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -1.620193E-01  1.620194E-01 -1.569800E+00
     0.0500   -1.610465E-01  1.610500E-01 -1.564150E+00
     0.1000   -1.600686E-01  1.600807E-01 -1.558500E+00
     0.1500   -1.590857E-01  1.591113E-01 -1.552850E+00
     0.2000   -1.580980E-01  1.581420E-01 -1.547200E+00
     0.2500   -1.570441E-01  1.571726E-01 -1.530350E+00
     0.3000   -1.559470E-01  1.562033E-01 -1.513500E+00
     0.3500   -1.548074E-01  1.552339E-01 -1.496650E+00
     0.4000   -1.536264E-01  1.542646E-01 -1.479800E+00
     0.4500   -1.517239E-01  1.527994E-01 -1.452075E+00
     0.5000   -1.497144E-01  1.513343E-01 -1.424350E+00
     0.5500   -1.476016E-01  1.498691E-01 -1.396625E+00
     0.6000   -1.453895E-01  1.484039E-01 -1.368900E+00
     0.6500   -1.422990E-01  1.465023E-01 -1.330675E+00
     0.7000   -1.390351E-01  1.446006E-01 -1.292450E+00
     0.7500   -1.356080E-01  1.426989E-01 -1.254225E+00
     0.8000   -1.320281E-01  1.407973E-01 -1.216000E+00
     0.8500   -1.275852E-01  1.387006E-01 -1.167725E+00
     0.9000   -1.229245E-01  1.366039E-01 -1.119450E+00
     0.9500   -1.180656E-01  1.345072E-01 -1.071175E+00
     1.0000   -1.130285E-01  1.324105E-01 -1.022900E+00
     1.0500   -1.070018E-01  1.301670E-01 -9.649750E-01
     1.1000   -1.007641E-01  1.279236E-01 -9.070500E-01
     1.1500   -9.434839E-02  1.256801E-01 -8.491250E-01
     1.2000   -8.778782E-02  1.234366E-01 -7.912000E-01
     1.2500   -8.028694E-02  1.211949E-01 -7.241000E-01
     1.3000   -7.264992E-02  1.189531E-01 -6.570000E-01
     1.3500   -6.492395E-02  1.167114E-01 -5.899000E-01
     1.4000   -5.715559E-02  1.144696E-01 -5.228000E-01
     1.4500   -4.851568E-02  1.122601E-01 -4.469000E-01
     1.5000   -3.989858E-02  1.100506E-01 -3.710000E-01
     1.5500   -3.136402E-02  1.078411E-01 -2.951000E-01
     1.6000   -2.296947E-02  1.056316E-01 -2.192000E-01
     1.6500   -1.393079E-02  1.035242E-01 -1.349750E-01
     1.7000   -5.144690E-03  1.014168E-01 -5.074996E-02
     1.7500    3.323766E-03  9.930942E-02  3.347504E-02
     1.8000    1.141429E-02  9.720203E-02  1.177000E-01
     1.8500    1.983197E-02  9.518029E-02  2.099001E-01
     1.9000    2.771708E-02  9.315856E-02  3.021001E-01
     1.9500    3.501131E-02  9.113683E-02  3.943001E-01
     2.0000    4.166442E-02  8.911510E-02  4.865001E-01
     2.0500    4.824882E-02  8.723090E-02  5.861001E-01
     2.1000    5.404281E-02  8.534670E-02  6.857001E-01
     2.1500    5.901111E-02  8.346250E-02  7.853001E-01
     2.2000    6.312951E-02  8.157830E-02  8.849001E-01
     2.2500    6.676835E-02  7.979334E-02  9.913501E-01
     2.3000    6.944363E-02  7.800837E-02  1.097800E+00
     2.3500    7.115994E-02  7.622341E-02  1.204250E+00
     2.4000    7.193473E-02  7.443845E-02  1.310700E+00
