
 Rmax  1.7000,  keep limit  0.000, heap limit  0.000      Feff 6.01l  paths 3.05
 Plane wave chi amplitude filter   2.50%
 -------------------------------------------------------------------------------
     1    2   1.000  index, nleg, degeneracy, r=  1.7000
      x           y           z     ipot  label      rleg      beta        eta
    1.700000    0.000000    0.000000   1 'O     '     1.7000  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     1.7000  180.0000    0.0000
