                                                          Feff 6.01l  potph 4.12
 Abs   Z=29 Rmt= 0.987 Rnm= 1.509 K shell
 Pot 1 Z= 8 Rmt= 0.813 Rnm= 1.241
 Gam_ch=1.761E+00 H-L exch
 Mu=-2.324E+00 kf=1.886E+00 Vint=-1.588E+01 Rs_int= 1.923
 S02  1.000                                               Feff 6.01l ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      1.00     2   1.8000
    1/   1 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -1.529829E-01  1.550353E-01 -1.407900E+00
     0.0500   -1.517902E-01  1.539983E-01 -1.401250E+00
     0.1000   -1.505931E-01  1.529613E-01 -1.394600E+00
     0.1500   -1.493918E-01  1.519243E-01 -1.387950E+00
     0.2000   -1.481863E-01  1.508873E-01 -1.381300E+00
     0.2500   -1.465817E-01  1.498503E-01 -1.361550E+00
     0.3000   -1.449285E-01  1.488133E-01 -1.341800E+00
     0.3500   -1.432280E-01  1.477763E-01 -1.322050E+00
     0.4000   -1.414817E-01  1.467393E-01 -1.302300E+00
     0.4500   -1.386376E-01  1.451605E-01 -1.269875E+00
     0.5000   -1.356780E-01  1.435818E-01 -1.237450E+00
     0.5500   -1.326093E-01  1.420031E-01 -1.205025E+00
     0.6000   -1.294379E-01  1.404244E-01 -1.172600E+00
     0.6500   -1.251087E-01  1.384657E-01 -1.127950E+00
     0.7000   -1.206050E-01  1.365069E-01 -1.083300E+00
     0.7500   -1.159429E-01  1.345482E-01 -1.038650E+00
     0.8000   -1.111383E-01  1.325894E-01 -9.940000E-01
     0.8500   -1.051578E-01  1.304269E-01 -9.378000E-01
     0.9000   -9.898891E-02  1.282643E-01 -8.816000E-01
     0.9500   -9.266197E-02  1.261017E-01 -8.254000E-01
     1.0000   -8.620722E-02  1.239392E-01 -7.692000E-01
     1.0500   -7.859128E-02  1.216990E-01 -7.020500E-01
     1.1000   -7.085064E-02  1.194588E-01 -6.349000E-01
     1.1500   -6.303270E-02  1.172186E-01 -5.677500E-01
     1.2000   -5.518410E-02  1.149784E-01 -5.006000E-01
     1.2500   -4.629800E-02  1.127412E-01 -4.231750E-01
     1.3000   -3.745006E-02  1.105040E-01 -3.457500E-01
     1.3500   -2.870333E-02  1.082668E-01 -2.683250E-01
     1.4000   -2.011832E-02  1.060296E-01 -1.909000E-01
     1.4500   -1.076357E-02  1.039067E-01 -1.037750E-01
     1.5000   -1.694619E-03  1.017838E-01 -1.664996E-02
     1.5500    7.017798E-03  9.966097E-02  7.047504E-02
     1.6000    1.530845E-02  9.753811E-02  1.576000E-01
     1.6500    2.397628E-02  9.551865E-02  2.537250E-01
     1.7000    3.204749E-02  9.349918E-02  3.498500E-01
     1.7500    3.945866E-02  9.147972E-02  4.459751E-01
     1.8000    4.615578E-02  8.946026E-02  5.421001E-01
     1.8500    5.275727E-02  8.757899E-02  6.465001E-01
     1.9000    5.847130E-02  8.569772E-02  7.509001E-01
     1.9500    6.326195E-02  8.381644E-02  8.553001E-01
     2.0000    6.710650E-02  8.193517E-02  9.597001E-01
     2.0500    7.038403E-02  8.016263E-02  1.071700E+00
     2.1000    7.258994E-02  7.839010E-02  1.183700E+00
     2.1500    7.373667E-02  7.661756E-02  1.295700E+00
     2.2000    7.385177E-02  7.484502E-02  1.407700E+00
     2.2500    7.264013E-02  7.271414E-02  1.525675E+00
     2.3000    7.039603E-02  7.058326E-02  1.643650E+00
     2.3500    6.720979E-02  6.845238E-02  1.761625E+00
     2.4000    6.318435E-02  6.632150E-02  1.879600E+00
     2.4500    5.928171E-02  6.508899E-02  1.996425E+00
     2.5000    5.468954E-02  6.385649E-02  2.113250E+00
     2.5500    4.950014E-02  6.262398E-02  2.230075E+00
     2.6000    4.381192E-02  6.139148E-02  2.346900E+00
     2.6500    3.752241E-02  6.021948E-02  2.468900E+00
     2.7000    3.089822E-02  5.904748E-02  2.590900E+00
     2.7500    2.405780E-02  5.787548E-02  2.712900E+00
     2.8000    1.711919E-02  5.670349E-02  2.834900E+00
     2.8500    9.761147E-03  5.557888E-02  2.965050E+00
     2.9000    2.525366E-03  5.445428E-02  3.095200E+00
     2.9500   -4.461537E-03  5.332967E-02  3.225350E+00
     3.0000   -1.108209E-02  5.220507E-02  3.355500E+00
     3.0500   -1.729747E-02  5.106342E-02  3.487175E+00
     3.1000   -2.293131E-02  4.992177E-02  3.618850E+00
     3.1500   -2.790184E-02  4.878012E-02  3.750525E+00
     3.2000   -3.214340E-02  4.763846E-02  3.882200E+00
     3.2500   -3.568195E-02  4.649695E-02  4.016375E+00
     3.3000   -3.838326E-02  4.535544E-02  4.150550E+00
     3.3500   -4.023190E-02  4.421393E-02  4.284725E+00
     3.4000   -4.123066E-02  4.307242E-02  4.418900E+00
     3.4500   -4.143776E-02  4.195004E-02  4.555950E+00
     3.5000   -4.081998E-02  4.082765E-02  4.693000E+00
     3.5500   -3.943074E-02  3.970526E-02  4.830050E+00
     3.6000   -3.733804E-02  3.858288E-02  4.967100E+00
     3.6500   -3.475058E-02  3.755895E-02  5.101550E+00
     3.7000   -3.164003E-02  3.653502E-02  5.236000E+00
     3.7500   -2.809564E-02  3.551108E-02  5.370450E+00
     3.8000   -2.421203E-02  3.448715E-02  5.504900E+00
     3.8500   -2.012007E-02  3.353192E-02  5.639650E+00
     3.9000   -1.586865E-02  3.257669E-02  5.774400E+00
     3.9500   -1.155368E-02  3.162147E-02  5.909150E+00
     4.0000   -7.268150E-03  3.066624E-02  6.043900E+00
     4.0500   -3.096571E-03  2.978277E-02  6.179025E+00
     4.1000    8.947199E-04  2.889931E-02  6.314150E+00
     4.1500    4.631783E-03  2.801584E-02  6.449275E+00
     4.2000    8.049649E-03  2.713238E-02  6.584400E+00
     4.2500    1.101893E-02  2.636409E-02  6.714375E+00
     4.3000    1.362139E-02  2.559581E-02  6.844350E+00
     4.3500    1.582546E-02  2.482752E-02  6.974325E+00
     4.4000    1.760910E-02  2.405924E-02  7.104300E+00
     4.4500    1.905405E-02  2.337654E-02  7.236075E+00
     4.5000    2.006468E-02  2.269383E-02  7.367850E+00
     4.5500    2.064358E-02  2.201113E-02  7.499625E+00
     4.6000    2.080227E-02  2.132842E-02  7.631400E+00
     4.6500    2.065949E-02  2.074849E-02  7.761325E+00
     4.7000    2.015455E-02  2.016855E-02  7.891250E+00
     4.7500    1.931547E-02  1.958862E-02  8.021175E+00
     4.8000    1.817580E-02  1.900868E-02  8.151100E+00
     4.8500    1.685641E-02  1.850697E-02  8.279525E+00
     4.9000    1.531245E-02  1.800525E-02  8.407950E+00
     4.9500    1.358389E-02  1.750354E-02  8.536375E+00
     5.0000    1.171265E-02  1.700182E-02  8.664800E+00
     5.0500    9.815688E-03  1.657684E-02  8.791075E+00
     5.1000    7.848683E-03  1.615186E-02  8.917350E+00
     5.1500    5.850251E-03  1.572687E-02  9.043625E+00
     5.2000    3.858021E-03  1.530189E-02  9.169900E+00
     5.2500    1.886030E-03  1.494003E-02  9.298200E+00
     5.3000   -2.510712E-05  1.457817E-02  9.426501E+00
     5.3500   -1.843232E-03  1.421631E-02  9.554801E+00
     5.4000   -3.539241E-03  1.385445E-02  9.683101E+00
