                                                          Feff 6.01l  potph 4.12
 Abs   Z=29 Rmt= 1.100 Rnm= 1.644 K shell
 Pot 1 Z= 8 Rmt= 0.902 Rnm= 1.348
 Gam_ch=1.761E+00 H-L exch
 Mu=-2.769E+00 kf=1.628E+00 Vint=-1.286E+01 Rs_int= 2.228
 S02  1.000                                               Feff 6.01l ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      1.00     2   2.0025
    1/   1 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -1.254345E-01  1.388098E-01 -1.128200E+00
     0.0500   -1.238549E-01  1.376628E-01 -1.119075E+00
     0.1000   -1.222740E-01  1.365159E-01 -1.109950E+00
     0.1500   -1.206924E-01  1.353689E-01 -1.100825E+00
     0.2000   -1.191101E-01  1.342219E-01 -1.091700E+00
     0.2500   -1.163867E-01  1.330749E-01 -1.064600E+00
     0.3000   -1.136079E-01  1.319280E-01 -1.037500E+00
     0.3500   -1.107773E-01  1.307810E-01 -1.010400E+00
     0.4000   -1.078984E-01  1.296340E-01 -9.833000E-01
     0.4500   -1.032466E-01  1.279369E-01 -9.390750E-01
     0.5000   -9.848152E-02  1.262397E-01 -8.948500E-01
     0.5500   -9.361773E-02  1.245425E-01 -8.506250E-01
     0.6000   -8.866984E-02  1.228454E-01 -8.064000E-01
     0.6500   -8.200615E-02  1.208173E-01 -7.460750E-01
     0.7000   -7.522371E-02  1.187892E-01 -6.857500E-01
     0.7500   -6.835686E-02  1.167611E-01 -6.254250E-01
     0.8000   -6.143958E-02  1.147331E-01 -5.651000E-01
     0.8500   -5.299433E-02  1.125828E-01 -4.901000E-01
     0.9000   -4.453543E-02  1.104326E-01 -4.151000E-01
     0.9500   -3.612099E-02  1.082824E-01 -3.401000E-01
     1.0000   -2.780725E-02  1.061322E-01 -2.651000E-01
     1.0500   -1.827915E-02  1.040022E-01 -1.766750E-01
     1.1000   -8.978558E-03  1.018722E-01 -8.824997E-02
     1.1500    1.745792E-05  9.974226E-02  1.750303E-04
     1.2000    8.637141E-03  9.761228E-02  8.860004E-02
     1.2500    1.795619E-02  9.559925E-02  1.889500E-01
     1.3000    2.669841E-02  9.358621E-02  2.893000E-01
     1.3500    3.478542E-02  9.157318E-02  3.896500E-01
     1.4000    4.214933E-02  8.956014E-02  4.900000E-01
     1.4500    4.958059E-02  8.769030E-02  6.009250E-01
     1.5000    5.606098E-02  8.582045E-02  7.118500E-01
     1.5500    6.153884E-02  8.395061E-02  8.227751E-01
     1.6000    6.597869E-02  8.208076E-02  9.337001E-01
     1.6500    6.986004E-02  8.035599E-02  1.053950E+00
