                                                          Feff 6.01l  potph 4.12
 Abs   Z=29 Rmt= 0.880 Rnm= 1.377 K shell
 Pot 1 Z= 8 Rmt= 0.720 Rnm= 1.127
 Gam_ch=1.761E+00 H-L exch
 Mu=-1.551E+00 kf=2.209E+00 Vint=-2.014E+01 Rs_int= 1.642
 S02  1.000                                               Feff 6.01l ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      1.00     2   1.6000
    1/   1 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -1.652464E-01  1.680402E-01 -1.753400E+00
     0.0500   -1.645248E-01  1.671609E-01 -1.748625E+00
     0.1000   -1.637979E-01  1.662816E-01 -1.743850E+00
     0.1500   -1.630659E-01  1.654023E-01 -1.739075E+00
     0.2000   -1.623287E-01  1.645229E-01 -1.734300E+00
     0.2500   -1.618255E-01  1.636436E-01 -1.720000E+00
     0.3000   -1.612855E-01  1.627643E-01 -1.705700E+00
     0.3500   -1.607091E-01  1.618850E-01 -1.691400E+00
     0.4000   -1.600968E-01  1.610057E-01 -1.677100E+00
     0.4500   -1.590799E-01  1.596251E-01 -1.653475E+00
     0.5000   -1.579687E-01  1.582446E-01 -1.629850E+00
     0.5500   -1.567656E-01  1.568640E-01 -1.606225E+00
     0.6000   -1.554727E-01  1.554835E-01 -1.582600E+00
     0.6500   -1.536787E-01  1.537120E-01 -1.550000E+00
     0.7000   -1.517239E-01  1.519404E-01 -1.517400E+00
     0.7500   -1.496140E-01  1.501689E-01 -1.484800E+00
     0.8000   -1.473550E-01  1.483974E-01 -1.452200E+00
     0.8500   -1.445178E-01  1.463845E-01 -1.410925E+00
     0.9000   -1.414609E-01  1.443717E-01 -1.369650E+00
     0.9500   -1.381962E-01  1.423589E-01 -1.328375E+00
     1.0000   -1.347360E-01  1.403460E-01 -1.287100E+00
     1.0500   -1.305873E-01  1.381910E-01 -1.237525E+00
     1.1000   -1.261876E-01  1.360359E-01 -1.187950E+00
     1.1500   -1.215576E-01  1.338809E-01 -1.138375E+00
     1.2000   -1.167185E-01  1.317258E-01 -1.088800E+00
     1.2500   -1.110806E-01  1.294791E-01 -1.031175E+00
     1.3000   -1.052068E-01  1.272324E-01 -9.735500E-01
     1.3500   -9.912941E-02  1.249857E-01 -9.159250E-01
     1.4000   -9.288052E-02  1.227389E-01 -8.583000E-01
     1.4500   -8.584152E-02  1.204977E-01 -7.929000E-01
     1.5000   -7.864107E-02  1.182564E-01 -7.275000E-01
     1.5500   -7.132317E-02  1.160152E-01 -6.621000E-01
     1.6000   -6.393136E-02  1.137739E-01 -5.967000E-01
     1.6500   -5.582141E-02  1.116088E-01 -5.237750E-01
     1.7000   -4.768793E-02  1.094436E-01 -4.508500E-01
     1.7500   -3.958495E-02  1.072784E-01 -3.779250E-01
     1.8000   -3.156479E-02  1.051133E-01 -3.050000E-01
     1.8500   -2.296342E-02  1.030047E-01 -2.248250E-01
     1.9000   -1.454377E-02  1.008961E-01 -1.446500E-01
     1.9500   -6.364908E-03  9.878751E-02 -6.447495E-02
     2.0000    1.517802E-03  9.667892E-02  1.570005E-02
     2.0500    9.725383E-03  9.467990E-02  1.029001E-01
     2.1000    1.751271E-02  9.268088E-02  1.901001E-01
     2.1500    2.482505E-02  9.068185E-02  2.773001E-01
     2.2000    3.161385E-02  8.868283E-02  3.645001E-01
     2.2500    3.840106E-02  8.679252E-02  4.583251E-01
     2.3000    4.453282E-02  8.490221E-02  5.521501E-01
     2.3500    4.997128E-02  8.301190E-02  6.459751E-01
     2.4000    5.468733E-02  8.112159E-02  7.398001E-01
     2.4500    5.912721E-02  7.880585E-02  8.485001E-01
     2.5000    6.253698E-02  7.649011E-02  9.572001E-01
     2.5500    6.491924E-02  7.417437E-02  1.065900E+00
     2.6000    6.629215E-02  7.185863E-02  1.174600E+00
     2.6500    6.704939E-02  7.029690E-02  1.265650E+00
     2.7000    6.716585E-02  6.873516E-02  1.356700E+00
     2.7500    6.666555E-02  6.717342E-02  1.447750E+00
     2.8000    6.557810E-02  6.561168E-02  1.538800E+00
     2.8500    6.418012E-02  6.434213E-02  1.641775E+00
     2.9000    6.212070E-02  6.307258E-02  1.744750E+00
     2.9500    5.944832E-02  6.180304E-02  1.847725E+00
     3.0000    5.621747E-02  6.053349E-02  1.950700E+00
     3.0500    5.231303E-02  5.929827E-02  2.061075E+00
     3.1000    4.790006E-02  5.806305E-02  2.171450E+00
     3.1500    4.305793E-02  5.682783E-02  2.281825E+00
     3.2000    3.786936E-02  5.559261E-02  2.392200E+00
     3.2500    3.229926E-02  5.439645E-02  2.505850E+00
     3.3000    2.653072E-02  5.320029E-02  2.619500E+00
     3.3500    2.065502E-02  5.200413E-02  2.733150E+00
     3.4000    1.476182E-02  5.080797E-02  2.846800E+00
     3.4500    8.657309E-03  4.959961E-02  2.966150E+00
     3.5000    2.712964E-03  4.839125E-02  3.085500E+00
     3.5500   -2.982680E-03  4.718289E-02  3.204850E+00
     3.6000   -8.348713E-03  4.597453E-02  3.324200E+00
     3.6500   -1.336272E-02  4.478602E-02  3.444575E+00
     3.7000   -1.791090E-02  4.359752E-02  3.564950E+00
     3.7500   -2.193962E-02  4.240902E-02  3.685325E+00
     3.8000   -2.540653E-02  4.122051E-02  3.805700E+00
     3.8500   -2.832515E-02  4.012672E-02  3.925275E+00
     3.9000   -3.065441E-02  3.903292E-02  4.044850E+00
     3.9500   -3.238435E-02  3.793913E-02  4.164425E+00
     4.0000   -3.351585E-02  3.684533E-02  4.284000E+00
     4.0500   -3.410629E-02  3.578841E-02  4.404575E+00
     4.1000   -3.412445E-02  3.473148E-02  4.525150E+00
     4.1500   -3.359976E-02  3.367456E-02  4.645725E+00
     4.2000   -3.257025E-02  3.261764E-02  4.766300E+00
